,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
4331,Pdpk1,-0.2743573766737822,0.2900918083245143,0.8411399981069279,0.5374645347260868,0.07513171484980505
4334,Prepl,0.049598116573028,0.8486624206956106,0.986153702865251,0.07126502822969222,0.006055390227225328
4336,Abca3,-0.2367461530438332,0.2699719040344471,0.8299145163706562,0.5686814304991911,0.08096663892566937
4338,Eci1,0.4622415263136489,0.119153383383852,0.6791273921910501,0.9238936212648592,0.16804875217571885
4339,Six2,-2.0639553693009325,0.0358391854685107,0.4194977997370937,1.4456418692819821,0.37727031270070377
4340,Srbd1,0.2356171667274273,0.374407473271856,0.879114356343041,0.4266554912150834,0.055954627658409084
4341,Dnase1l2,0.6541785208687959,0.3875508330923182,0.8831526211165919,0.41167132520000693,0.05396423778012581
4342,E4f1,-0.30874650359215,0.4003157828366881,0.8875582493138227,0.39759728707760783,0.051803135145619725
4343,Epas1,-0.3392587284849196,0.1634936557429462,0.7394078452016408,0.7864990951705931,0.131115945824439
4344,Mlst8,0.2879868600502011,0.4248105333115904,0.8991297081151327,0.37180472332398473,0.04617765258792484
4345,Rhoq,0.0121069610251933,0.9673233160212408,0.9974905146391808,0.014428344018935661,0.0010912254251228427
4346,Pigf,0.4192190747700851,0.4603855100270514,0.9067597531090326,0.336878353622445,0.042507764450418116
4347,Cript,0.4219801428161699,0.0451613081503014,0.4675120096695336,1.3452334867154234,0.3302072282861902
4348,Mcfd2,0.1202936036895124,0.6146833790539699,0.9512072156517588,0.21134852997778586,0.021724863913065103
4349,Msh2,-0.027684353510019,0.9062296296401552,0.9915306140522956,0.04276174244500874,0.0036938721710079096
4352,Hagh,0.2034368944648638,0.565017777904139,0.9401064155967522,0.24793788718197654,0.026822983537897492
4353,Spsb3,-0.2601122339287327,0.6607676371768971,0.957903844029272,0.17995123587483652,0.018678083931255567
4354,Mapk8ip3,-0.3426649164726419,0.0882123161983723,0.6128366179566792,1.0544707744648902,0.21265529281833612
4355,C3,-2.616252362330493,0.0321520292246819,0.3980930297285183,1.4927916120625906,0.4000154264775527
4356,Jpt2,-0.2123023488609408,0.3870221808927452,0.8831526211165919,0.4122641441199134,0.05396423778012581
4357,Tmem204,0.5077825954689307,0.0098817299785938,0.2231054462066763,2.0051670175189455,0.65148982806382
4358,Ift140,-0.4996400400481653,0.1290362534823529,0.6909413053737331,0.8892882550081312,0.16055884384863617
4359,Telo2,-0.2405647819769902,0.5694783756441727,0.9416008631154256,0.2445227623956152,0.026133152069788716
4363,Pot1b,0.1785923480783067,0.5855423620829194,0.9448425410205789,0.23244167966363533,0.024640561081920066
4365,Sox8,0.2158597710172979,0.8180590601312827,0.981870752619474,0.08721534111693344,0.007945676284737909
4366,Nme4,-1.1859602915923038,0.288314722210278,0.8408852745737398,0.5401331806730487,0.07526325273751328
4367,Pgap6,0.2905993954697684,0.6008022429956373,0.9486305732029612,0.2212684546343643,0.02290288267869228
4368,Mrpl28,0.4121944771772854,0.1800350409218264,0.75272550843592,0.7446429582416001,0.12336336630231423
4369,Axin1,-0.3087703485206485,0.1660641133977183,0.7396994185063389,0.7797242088323397,0.13094472270621366
4370,Pdia2,-0.37592768368317,0.561058606964236,0.9393730954973264,0.25099177091539543,0.027161882564921212
4372,Fam234a,0.2649983638273318,0.3277908691858282,0.8587489234095076,0.4844031481341584,0.06613379439539543
4373,Luc7l,-0.2303911791285949,0.2906722933802648,0.8416232872988897,0.5365963628134192,0.0748822563111934
4374,Dusp1,0.6495731590331024,0.0104374914480703,0.2284731891977746,1.9814038673461762,0.6411647560607425
4375,Bnip1,0.2418569083124804,0.496629504151626,0.9182428010340024,0.3039674831108545,0.03704246781083506
4376,Phf1,0.431894835780862,0.1233949667624417,0.6836607592803609,0.9087025546615961,0.16515934699345985
4377,Cuta,0.5394949248693095,0.0241869812550182,0.3425098817767262,1.6164183319728895,0.4653268941301123
4378,Plin3,0.2499900149710687,0.338231214742836,0.8628088913841908,0.4707863146418809,0.06408538807204947
4379,Kdm4b,0.049280752608874,0.8463302322175004,0.9860192517174138,0.072460145181066,0.006114605512118086
4380,Rpl36-ps2,0.1757960576722238,0.6523757307179139,0.9573922439760952,0.18550220368838186,0.01891009514530415
4381,Rfx2,-0.0226158727914143,0.944751828515225,0.9947234382219742,0.024682258857040704,0.002297648851733362
4383,Uqcc2,0.944811858291542,0.0278274039543988,0.3665032791405824,1.5555273075311424,0.43592213533038543
4384,Acsbg3,-1.095174180679387,0.2116801322760612,0.7830961476326949,0.6743199017717221,0.10618491249783912
4387,Mllt1,0.0715817154028419,0.7785832488503118,0.974786149675392,0.10869494432468234,0.011090650150303414
4388,Nudt3,0.0505728570706255,0.8233706807796971,0.9819622467949828,0.0844046017571567,0.007905209080458974
